ID|date|headline|short_text|text|image|image_align|image2|image_align2|show
1|1/29/06|0m - Keith and I Buy Truck|Keith and I bought the truck we are driving across country. The cool part is that we only paid $1000. :) Check the pictures out!<br><br>peace.. <br>|||left|||Yes
2|2/3/06|0m - We leave in the morning. |If you are in the annapolis area please come out and join Keith and I. We are going out drinking tonight. :) We will have the truck with us. Funny thing, I wanted to name the truck. But "HE" named himself. We found a name tag in the back of the truck. His name is Carleton Robinson. Odd thing considering that is the same last name as my girlfriend. So there might be some pictures tomorrow from tonight. There WILL be pictures from the first day on the road. Right now we are planning on driving to Tennessee. Good times! <br><br>see you tonight! |||left|||Yes
3|2/4/06|0m - The night before!|We went out and saw a lot of people tonight.  Andy Forgot His Camera so,we are without a pictures from this evening.  The big news is James went out, yes you heard it hear first, James (Andy's Borther went out) tonight.  The Biz cards were passed out, just another 490 cards to go..........<br><br>Well folks that is the first ever record of Keith blogging. Lord Help us! ;)   <br>Well that is enough for tonight. Talk to you all Tomorrow! :) Shit in 8.5 hours. <br><br>Peace and axle grease!<br>|||left|||Yes
4|2/4/06|We are OFF!|We the offical time is 9:17am. Keith is drivin, I am scared. ;) Kidding. The adventure has started!|||left|||Yes
6|2/4/06|445m - First Night In TN.|2/4/06 0m <br>We the offical time is 9:17am. Keith is drivin, I am scared. ;) Kidding. The adventure has started!<br><br>77.8m<br>We made it to our first "lets give the truck a little break" stop. Good thing since there was a little oder. <br><br>11:00am VA Still Raining -K<br><br><br>110m<br>11:10am reach 81 south just a mear 319 miles until TN.  Good new cruise control works after a little MacGyvering.  So far so good -K<br><br>181m<br>12:13  We figured out that our speedometer is off by about 10%.  On another note Andy in a display of shear brilliance brought rechargable batteries but only one set so that when they are dead we are without music until the worlds slowest battery charge recharges the them. -K<br><br>Wallmart count 4<br>Cracker Barrel count 4<br><br>247m<br>1:42 Well after a little BK we are back on the road again. It is still raining a little. Good thing we got some RainX. Oh the radio situation is good so far. Plenty of country music stations. And we figrued out that we can plug the laptop directly into the radio. It should improve the sounds. Well even though the fm transmitter was working great! ;) More to come... -A<br><br>OH! <br>Cracker Barrel count = 9!<br>Walmart count = 5<br><br>340m<br>3:09<br>Snow and a Cracker Barrel sign! Craziness! - A<br><br>389m<br>3:53<br>Goodbye Virginia, Hello Tennesee!<br>(Tennesee clean rest stops!!!!!) - K<br><br>420m<br>4:40pm more snow<br><br><br>5:00pm  who new they still had dry counties... I kind of feel out of Place. This explains the lack of Bars - K<br><br>445m<br>5:45pm<br>Well we made it to Keith's Aunt and Uncles. Man they have a great old house. Check the pictures! We had dinner here and now we are playing online and getting tomorrow sorted out. Already I can tell this is going to be one great trip! Oh we have scheduled for brunch tomorrow. :)  <br><br>From a FAN! HI SWEETPEA!<br> -A|||left|||Yes
7|2/5/06|Good Morning|Yes, it is still snowing.  We did get up early today, to go see the cows get milked. It was pretty interesting.  Now we are off to brunch, you will have to check in later today for more pictures.-K|||left|||Yes
8|2/6/06|536m - Gatlinsburg TN|Blog for keith:<br><br>2/5/06<br>445m – Good Morning! <br>Well brunch went well. There are certainly a lot of nice people out here. And the country is pretty too! Well we are off to Gatlinburg TN. We are giving a friend a call in Greensville SC to see if he wants to join us tonight. We will see. &#9786;  -A<br><br>536m<br>2/5/06<br>Way drunk! Well we just got back from several bars. And boy did we meet some fun people! Well I seemed to have lost the card with all the names. But from what I remember, we meet: Julie & Aaron, Hugh & Michelle and some others. Lets see first off we went to a weird bar for dinner. Then headed upstairs for drinks. The new place had girls on the bar dancing. Then we ended up winning a door prize of a inflatable chair and t-shirts. We gave the chair to a  nice girl for her kids. Pictures to come soon. Good Karma points,. Lord knows we need them!  Um Then we ended up at another bar were there was a Checz band playing. Keith tried to get laid and nothing happened. We ended up hanging out with some pretty fun people! This is after we meet some cool people from Ohio named Julie and Aaron. HI! Oh I forgot to tell you all about the cool aquarium in Gatlinsburg. Who knew? Wow what a day! It is weird to think that if the trip continues at this pace it will be exciting! &#9786; Wow Keith was trying to meet new people and well lets say he is here alone with me. <br><br>FYI, -  I miss my girl. &#9786;  Keith is too drunk to write tonight. More to follow! ;_) – A! <br> <br>|||left|||Yes
9|2/6/06|770m Hello Nashville!|Well Gatlinsburg TN is a fun place.  Yesterday we went toe the aquarium.  That was a good time.  After that we hit one bar then we went and played mini golf.  I won so Andy had to buy dinner.  Lets face it I am a highly skilled Athlete.  Then we got our picture with a bunch of servers. (The waitress type not the computer type, computer geek)  we met a lot of nice people at a bunch of bars.  Andy put out cigarettes on his arm, not the smartest thing he has ever done.  And for the record I was not trying to get laid everyone was trying to get me laid Big difference….My head hurts more later – K<br><br>540m <br>Mining for GOLD! Well not exactly gold but gems. We bought a bucket and mined it ourselves. Kitty was a hoot! She gave us each a little cut Smokey Quartz. How cool! And after keith sobered up a little he got into the panning. If you are ever in Pigeon Forge,  TN you must stop by http://pfgemmine.com! Just check the pictures out! Oh NEW RULE not stupid shit that scares! Look for it in the pictures. Ouch. Well now we are making the trip to Nashville. Tonight we are staying with a good friend of my brother. There is something about him being in a song writing contest with CMT. <br>I think I am going to let my beard grow out until Vegas. I haven’t had facial hair in a long time. Lets see how long it gets before Vegas.<br>Keith wanted me to update. Cracker Barrel = 9, Walmart = 4 for the day.<br> Nap Time - A <br><br>8pm<br>Ok let me take a minute to finish up what all happened yesterday.  Other then the night activities we went to the muscle car museum.  We also need to say a big thank you to the Econo Lodge…. We also found 3 more Walmarts and Cracker Barrels. <br><br>Today we went to Cooters the Dukes of Hazard museum.  Mining was cool.  The mountains are beautiful to drive through.  Tomorrow we head to Nashville to explore a little and then who knows where we will end up. -K<br><br>Updated Walmart count 12 <br> Updated Cracker Barrel count 21<br><br>9:44pm<br>Chris and his family has been very accommodating tonight. Thanks! -A <br>|||left|||Yes
10|2/7/06|770m Waking up in Nashville|2/7 Waking up in Nashville. <br>Keith and I wanted to post some of the emails we have received along the trip. Here are two. <br>-------------------------------------------------<br>Hey guys..<br> <br>  I am the guy you asked "if I was bored check this out".. You gave me one of your business cards.. I was sitting at the bar in NO WAY JOSE'S.. You asked me what time the superbowl starts. keep up the good work! I live in Brevard NC.. Keep up the pictures!! Nice meeting ya..<br> <br>Mike Forbes<br>-------------------------------------------------<br><br>And <br><br>-------------------------------------------------<br>I can't wait for all the crazy photos :-) Better NOT forget that camera in<br>the future!<br><br>Mark<br><br>--------------------------------------------------------------<br>  Helmsman, Team Eagle<br>  http://www.teameagle.org<br>-------------------------------------------------<br><br>We also wanted to mention that Chris Caminiti is in a country music song writing contest with CMT. They are have viewers vote on the web site http://cmt.com Everyone please go on the web site starting on March 1st  and vote for Chris! We will have a direct link to his song here, Soon! <br><br>Well the trip continues! - A<br><br>770m<br>10:45 Well we checked Carleton (the truck) out today and it appears that we still have fluids in all the spots they are suppose to be.  Carleton is treating us well!!!! – K<br><br><br>812m – 4pm<br>Check that, Carleton the truck is not doing to well.  So who knows what a master cylinder does.  We do now!  Oh and by the way you will also need brake pads and calipers.  We know this because of a very nice grinding noise and metal shaving coming out of the tire.  The Auto shop was a very slow 5 miles down the street.  If you are ever in Nashville and need to get your car fix we highly recommend CUSTOM AUTO & REPAIR  and see Johnny Boyd.  He was nice enough to put us up in a Hotel Room for the night while they fix our truck.  On another bad note the County Music Hall of Fame was closed today (they close on Tuesdays in the winter) just like Dollywood was the yesterday.  We did get to see the Ryman Auditorium which was the Grand Ole Opry, that was really cool.  Went to some bars and listen to some “up and coming country music”  Well this a very interesting day.  You will enjoy the pictures When ever we have a choice to made it just seems to work itself out in fact that has become a motto of ours:<br>				It will work itself out.<br><br>Road trips are a blast I recommend them to everyone. Just don’t plan to much.  <br>No Worries – K<br><br>What a day, what a day. Well with all the new parts for $500 Carelton should take us the rest of the way. SO, whoever picked Nashville wins the break down bet! Although technically it has been broken from the start. Odd thing is that we have been getting 16 miles per gallon. Who knows how many miles we will get with working brakes that don’t rub. Good Times! Part of the trip is for the stories. We now have a great story! Well we are now looking for a bar to drink at! Good thing our hotel is near the airport. <br><br>And for the record, I AM ON VACATION. Stop calling my cell for work. Although with the new expenses I could use the extra work. <br><br>I am posting the pictures so far today. Check for more pictures tomorrow! - A<br><br>8:36pm<br>Oh we forgot to mention the Decembers Mr. and Mrs. to be exact. What a nice couple! It was cool to meet them at Tootsies in downtown Nashville. Tonight Keith and I settled in with some drinks and tv. &#9786; Night all! - A<br>|||left|||Yes
11|2/8/06|812m Still in Nashville! |2/8 812M<br>9:30am<br>Well we are still in Nashville. We got a call this morning about the truck. And I guess you need wheel bearings too? Who knew? Oh well, we got our check out time extended to noon. Fingers are crossed! FYI Shoney’s Breakfast Buffet is pretty good!  - A <br><br>12pm<br>We are checking out of the hotel and going to sit on the curb. Good Times! – A<br><br>12:31pm<br>we are on the road again…YAHOO. Nashville has been unlucky for us so Memphis here we come.  The guys at the shop took good care of us and the shop is spotless too check the pictures.  FYI.  Andy had an amazing break through last night ;) – K<br><br>860m<br>1:00pm Snow<br><br><br>965m<br>Been driving in the rain for a about an hour in heavy rain and now we hear a little noise that sounds like a little something loose in the front starboard side under the window.  Solution turn up radio.  Lets hope we make it to Memphis. – K<br><br>1000m<br>3:05<br>We just turned our trip meter. YAHOO!!!!!- K<br><br>1021m or abouts (update soon)<br>4:21pm <br>Yeah we made it to Memphis. We are heading out on the town tonight and then going to Graceland tomorrow. Not too sure what we are doing in Little Rock. Check back to find out &#9786;.  We think we found what was making that sound. So we duct taped it! Check the pictures. <br><br>One request we don’t really know anyone the rest of the way out. So if you know or think you know of someone that can help. Please email us at me@clemenko.net Or call 410-212-3200. And please make sure the arrangements are flexible. We are just not too sure when the truck will get there. <br><br>Time for drinks and dinner! I think it is HAPPY HOUR – A<br><br>Cracker Barrels +6<br>Walmarts +0<br>-	K<br><br><br>11:40pm<br>I fucking hate Keith! He makes me eat pizza at 11pm after drinking all night! He makes me pay for things saying “this is a once in a life time trip” and “it will all work out” while “It will make sense when we get there” is mine. Well we have a lot of shout outs tonight. Man what a good time! Keith and I started out at 5pm for what we thought was happy hour. But heck it turned into quite a good night! As we bar hopped UP the street we meet some good people. Lets start with Smokey at Memphis Music. He is one cool kat! Please check out their website at http://memphismusicstore.com. We kept running into him all over Beale st. He recommended some really good blues! If you like Muddy Waters please check out Freddie King, Elmore James, and a new kid Kirk Fletcher!!!!!! Next we meet Nicole at Silky Sulivan’s. She told us to head towards the Flying Saucer. They had some sort of mug night where you got to keep the mug. More to come. Next we meet Maurce at Bar Tap. He told use to head to Flying Saucer. Gee you hear a theme here? Nicole actually worked there. Well they had a mug night. And Maurce wanted one. So we traded him one for some drinks and some help in the future. Um check the pictures out! ;) So to get a good picture at Flying we need the help of someone. Well we ran into Scott Gair fom Scottland. It turns out that he know exactly where I had been backpacking in ’98. Wow what a small planet. We even started talking about the Scouser that I dated. &#9786; I think I am falling in love with Memphis! You must get down here and check out Beale St. <br><br>I am so amazed by our trip. Keith and I keep saying “we rock!” . I love my life! &#9786; This is probably one of the greatest adventures to date I have had! Memphis Rocks! <br><br>Keith is about to pass out! We did eat a medium pizza. Tomorrow we are heading to Graceland and then Little Rock. But we have heard nothing good about it. So we may continue on! Check out to see! &#9786; Peace!  - A<br>|||left|||Yes
